Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,AVERAGE S/F  (USD),2021 Average SF,2022 Average SF,2023,,,,,,,,,,,,
,,,,Ocak,Şubat,Mart,Nisan,Mayıs,Haziran,7.0,8.0,9.0,10.0,11.0,12.0,Average Annual SF
,WEST AFRICA SERVICE (WAS),9835,11767,7245,6555,6672,6483,6296,5262,0.0,0.0,0.0,0.0,0.0,0.0,2700
,EUROPE AFRICA SERVICE (EAS),5144,7466,6453,6163,5566,5362,5565,5334,0.0,0.0,0.0,0.0,0.0,0.0,2404
,SENEGAL MAURITANIA EXPRESS (SME),9948,13074,8554,7830,7702,7018,6569,5605,0.0,0.0,0.0,0.0,0.0,0.0,3116
,HAMBURG TANGIER SERVICE (HTS),0,3925,4132,3534,3053,3180,3048,0,0.0,0.0,0.0,0.0,0.0,0.0,1422
,AEGEAN-SPAIN SERVICE (ASA),2985,4017,2672,2446,2160,2112,1937,1798,0.0,0.0,0.0,0.0,0.0,0.0,902
,SPAIN-EAST MED. SERVICE (SEM),2680,3552,2453,2322,2344,2463,2309,2119,0.0,0.0,0.0,0.0,0.0,0.0,974
,ITALY SERVICE (ITE),2182,3045,2612,2380,2241,2038,1842,1858,0.0,0.0,0.0,0.0,0.0,0.0,897
,GREAT PENDULUM SERVICE (GPS),2109,2751,2624,2493,2314,2453,2426,2398,0.0,0.0,0.0,0.0,0.0,0.0,1018
,WEST MED-B.SEA SERVICE (WBS),3650,4171,2672,2058,2181,2068,1857,1900,0.0,0.0,0.0,0.0,0.0,0.0,886
,EAST MED. MOROCCO SERVICE (EMS),2969,4008,2647,2500,2366,2428,2367,2025,0.0,0.0,0.0,0.0,0.0,0.0,992
,TURKEY-LEVANT SERVICE (TLS),2924,3972,2796,2827,2742,3694,3005,2044,0.0,0.0,0.0,0.0,0.0,0.0,1179
,INTRA AEGEAN SERVICE (IAS),0,3161,0,0,0,0,0,2818,0.0,0.0,0.0,0.0,0.0,0.0,1168
,GREECE TURKEY SERVICE (GTS),0,3442,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
,AEGEAN BULGARIA EXPRESS (ABX),2396,2740,2574,2350,2635,1831,2013,1930,0.0,0.0,0.0,0.0,0.0,0.0,919
,TURKEY ISRAEL SERVICE (TIS),0,6006,4410,4329,3321,2896,2602,2627,0.0,0.0,0.0,0.0,0.0,0.0,1356
,NORTH AFRICA SERVICE (NAS),3953,5064,3296,2925,2669,2775,3021,2428,0.0,0.0,0.0,0.0,0.0,0.0,1168
,LIBYA TUNUS SERVICE (LTS),4323,5226,3715,3073,3260,2609,2380,2683,0.0,0.0,0.0,0.0,0.0,0.0,1238
,ALGIERS EXPRESS SERVICE (AEX),2306,3095,3037,2723,2863,2586,2688,2818,0.0,0.0,0.0,0.0,0.0,0.0,1143
,ORAN EXPRESS SERVICE (OEX),2468,3233,3753,3787,2897,3195,1790,4004,0.0,0.0,0.0,0.0,0.0,0.0,1152
,FRANCE-MOROCCO SERVICE (FMS),2507,2592,2366,2323,2053,1889,1930,1636,0.0,0.0,0.0,0.0,0.0,0.0,830
,MOROCCO TUNISIA SERVICE (MTS),3830,3133,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
,BEJAI EXPRESS SERVICE (BEX),1683,3658,0,0,0,2126,2831,3126,0.0,0.0,0.0,0.0,0.0,0.0,1095
,MARMARA RUSSIA SERVICE (MRS),2089,6849,6996,7289,6475,6108,5980,5980,0.0,0.0,0.0,0.0,0.0,0.0,2709
,REEFER EXPRESS SERVICE (REX),3573,9615,10885,10794,12091,11047,9487,10160,0.0,0.0,0.0,0.0,0.0,0.0,4506
,TURKEY-POTI SERVICE (TPS),3823,3839,4393,3591,4160,2950,3393,4132,0.0,0.0,0.0,0.0,0.0,0.0,1452
,TURKEY BULGARIA SERVICE (TBS),3730,5091,5148,4059,3820,3412,3209,3311,0.0,0.0,0.0,0.0,0.0,0.0,1505
,LEVANT BLACK SEA EXPRESS (LBX),1664,2787,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
,OTHER 3rd PARTY VESSELS,4632,11782,15981,9470,5092,6073,2590,4300,0.0,0.0,0.0,0.0,0.0,0.0,2827
,TOPLAM,1476,2170,1852,1602,1544,1403,1348,1186,0.0,0.0,0.0,0.0,0.0,0.0,1496
